Model,Parameters,Exogenous_Features,MAE,RMSE,R2_Score,Notes
ARIMA,"(1,1,1)",,338.06983904181084,395.3722936910703,-2.1339118133702346,Univariate ARIMA on Adj_Close
SARIMA,"(1,1,1)x(1,1,1,12)",,299.5134945191544,349.1884165759297,-1.444522080396407,Univariate SARIMA with annual seasonality
ARIMAX,"(1,1,1)","USD_Index, CPI, Yield_10Y, headline_count, avg_sentiment",372.70464021078993,433.2305691005143,-2.7628117671384422,ARIMAX using SARIMAX(no seasonality)
SARIMAX,"(1,1,1)x(1,1,1,12)","USD_Index, CPI, Yield_10Y, avg_sentiment",326.11323070476067,378.9401488086229,-1.8788268841887237,"SARIMAX with CPI, USD, Yield, and Sentiment"
Prophet,default (daily_seasonality=True),,380.9194277852375,436.1206721580555,-2.8131830387965167,Univariate Prophet
Prophet,daily_seasonality=True,"USD_Index, CPI, Yield_10Y, headline_count, avg_sentiment",272.18774221756024,318.66970458356985,-1.0358972821072123,Prophet with exogenous features
Random Forest,n_estimators=100,"gold_lag_1, gold_lag_7, gold_lag_30",352.3110159362565,413.0613096564634,-2.4206082783774585,Univariate (lags only)
Random Forest,n_estimators=100,"gold_lag_1, gold_lag_7, gold_lag_30, usd_index_lag_1, usd_index_lag_7, usd_index_lag_30, sentiment_lag_1, sentiment_lag_7, sentiment_lag_30, USD_Index, CPI, Yield_10Y, headline_count, avg_sentiment, gold_return",343.23154183266996,405.5972102104188,-2.298103082232555,Multivariate
XGBoost,n_estimators=100,gold_lag_1,355.86134874564243,417.3580132925667,-2.4921413958940146,Univariate using gold_lag_1
XGBoost,n_estimators=100,gold_lag_7,399.0604722710719,458.3812875610884,-3.212385095253927,Univariate with gold_lag_7
XGBoost,n_estimators=100,gold_lag_30,440.05520778215265,492.7616526613809,-3.867972468176462,Univariate with gold_lag_30
XGBoost,"n_estimators=100, learning_rate=0.1","gold_lag_1, gold_lag_7, gold_lag_30",370.2212897433702,430.17653121041576,-2.709947240993626,Univariate using all lag features
XGBoost,"n_estimators=100, learning_rate=0.1","gold_lag_1, gold_lag_7, gold_lag_30, usd_index_lag_1, usd_index_lag_7, usd_index_lag_30, sentiment_lag_1, sentiment_lag_7, sentiment_lag_30, USD_Index, CPI, Yield_10Y, headline_count, avg_sentiment, gold_return",356.8650811791895,419.1401283172618,-2.5220278932310936,Multivariate XGBoost using all predictors
Random Forest (Tuned),"{'max_depth': 10, 'max_features': None, 'min_samples_split': 5, 'n_estimators': 100}","gold_lag_1, gold_lag_7, gold_lag_30, usd_index_lag_1, usd_index_lag_7, usd_index_lag_30, sentiment_lag_1, sentiment_lag_7, sentiment_lag_30, USD_Index, CPI, Yield_10Y, headline_count, avg_sentiment, gold_return",341.7823466668926,404.29674500503006,-2.2769875904069012,Tuned multivariate Random Forest
XGBoost (Tuned),"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 3}","gold_lag_1, gold_lag_7, gold_lag_30, usd_index_lag_1, usd_index_lag_7, usd_index_lag_30, sentiment_lag_1, sentiment_lag_7, sentiment_lag_30, USD_Index, CPI, Yield_10Y, headline_count, avg_sentiment, gold_return",343.1081395122634,405.73275744110555,-2.3003078480842656,Tuned multivariate XGBoost
LSTM,"units=64, dropout=0.2, optimizer=adam",Adj_Close only (windowed),47.547943916148206,56.946007650789234,0.9112150842753256,Univariate LSTM using scaled Adj_Close with window=30
LSTM (Multivariate),"units=64, dropout=0.2, optimizer=adam","Adj_Close, USD_Index, CPI, Yield_10Y, headline_count, avg_sentiment, gold_return",272.03711809451187,281.1413301111875,-1.1640237007666947,"Multivariate LSTM with exogenous inputs, window=30"
LSTM (Semi-Multivariate),"units=64, dropout=0.2, optimizer=adam","Adj_Close, CPI, USD_Index",27.74579264880288,34.70954217333548,0.967015462943062,"Semi-Multivariate LSTM using CPI and USD_Index, window=30"
Ensemble (Average),"avg of LSTM, XGBoost, Prophet",,276.40830361742053,304.4835287247091,-1.5382841082774594,Simple average ensemble using 2024 forecasts
Ensemble (Weighted),Inverse MAE weighting,None,76.28780407716343,87.54292285311752,0.7901762194713143,Weighted ensemble using inverse MAE from 2024
